dato,skole,elevdag,laererdag,sfodag,kommentar
2016-10-23,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2016-10-24,Dalgård skole og ressurssenter,Ja,Ja,Ja,
2016-10-25,Dalgård skole og ressurssenter,Ja,Ja,Ja,
2016-10-26,Dalgård skole og ressurssenter,Ja,Ja,Ja,
2016-10-27,Dalgård skole og ressurssenter,Ja,Ja,Ja,
2016-10-28,Dalgård skole og ressurssenter,Ja,Ja,Ja,
2016-10-29,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2016-10-30,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2016-10-31,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-01,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-02,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-03,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-04,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-05,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2016-11-06,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2016-11-07,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-08,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-09,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-10,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-11,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-12,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2016-11-13,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2016-11-14,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-15,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-16,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-17,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-18,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-19,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2016-11-20,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2016-11-21,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-22,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-23,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-24,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-25,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-26,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2016-11-27,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2016-11-28,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-29,Dalgård skole og ressurssenter,ja,ja,ja,
2016-11-30,Dalgård skole og ressurssenter,ja,ja,ja,
2016-12-01,Dalgård skole og ressurssenter,ja,ja,ja,
2016-12-02,Dalgård skole og ressurssenter,ja,ja,ja,
2016-12-03,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2016-12-04,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2016-12-05,Dalgård skole og ressurssenter,ja,ja,ja,
2016-12-06,Dalgård skole og ressurssenter,ja,ja,ja,
2016-12-07,Dalgård skole og ressurssenter,ja,ja,ja,
2016-12-08,Dalgård skole og ressurssenter,ja,ja,ja,
2016-12-09,Dalgård skole og ressurssenter,ja,ja,ja,
2016-12-10,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2016-12-11,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2016-12-12,Dalgård skole og ressurssenter,ja,ja,ja,
2016-12-13,Dalgård skole og ressurssenter,ja,ja,ja,
2016-12-14,Dalgård skole og ressurssenter,ja,ja,ja,
2016-12-15,Dalgård skole og ressurssenter,ja,ja,ja,
2016-12-16,Dalgård skole og ressurssenter,ja,ja,ja,
2016-12-17,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2016-12-18,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2016-12-19,Dalgård skole og ressurssenter,ja,ja,ja,
2016-12-20,Dalgård skole og ressurssenter,ja,ja,ja,
2016-12-21,Dalgård skole og ressurssenter,ja,ja,ja,Siste skoledag
2016-12-22,Dalgård skole og ressurssenter,nei,nei,nei,Juleferie
2016-12-23,Dalgård skole og ressurssenter,nei,nei,nei,Juleferie
2016-12-24,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2016-12-25,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2016-12-26,Dalgård skole og ressurssenter,nei,nei,nei,Juleferie
2016-12-27,Dalgård skole og ressurssenter,nei,nei,nei,Juleferie
2016-12-28,Dalgård skole og ressurssenter,nei,nei,nei,Juleferie
2016-12-29,Dalgård skole og ressurssenter,nei,nei,nei,Juleferie
2016-12-30,Dalgård skole og ressurssenter,nei,nei,nei,Juleferie
2016-12-31,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2017-01-01,Dalgård skole og ressurssenter,nei,nei,nei,Søndag/Nyttår
